sub_id,type,trial_type,prev_trial_type,mean_rt,pc
1.0,t,incong_per_incong_resp,incong_per_incong_resp,846.122034589,1.0
2.0,t,incong_per_incong_resp,incong_per_incong_resp,670.714739641,1.0
3.0,t,incong_per_incong_resp,incong_per_incong_resp,784.691419234,1.0
4.0,t,incong_per_incong_resp,incong_per_incong_resp,654.223124205,1.0
5.0,t,incong_per_incong_resp,incong_per_incong_resp,698.229768085,1.0
6.0,t,incong_per_incong_resp,incong_per_incong_resp,806.295459795,1.0
7.0,t,incong_per_incong_resp,incong_per_incong_resp,573.930753552,1.0
8.0,t,incong_per_incong_resp,incong_per_incong_resp,714.433780784,1.0
9.0,t,incong_per_incong_resp,incong_per_incong_resp,967.051767149,1.0
10.0,t,incong_per_incong_resp,incong_per_incong_resp,823.404973106,1.0
11.0,t,incong_per_incong_resp,incong_per_incong_resp,681.771719725,1.0
12.0,t,incong_per_incong_resp,incong_per_incong_resp,633.723412168,1.0
13.0,t,incong_per_incong_resp,incong_per_incong_resp,571.818855285,1.0
14.0,t,incong_per_incong_resp,incong_per_incong_resp,527.06876136,1.0
15.0,t,incong_per_incong_resp,incong_per_incong_resp,698.392435466,1.0
16.0,t,incong_per_incong_resp,incong_per_incong_resp,648.874875653,1.0
17.0,t,incong_per_incong_resp,incong_per_incong_resp,892.265827569,1.0
18.0,t,incong_per_incong_resp,incong_per_incong_resp,638.600632111,1.0
